證券代號,證券名稱,Date,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
02001R,富邦蘋果反一N,2021-01-28,0,0,0.00,0.00,0.00,0.00,0.00,0
20020,元大台股領航N,2021-01-28,1331000,8427500,6.34,6.41,6.25,6.29,-0.02,272
20022,元大電動車N,2021-01-28,5796000,30109300,5.25,5.32,5.12,5.13,-0.09,1277
1101,台泥,2021-01-28,20804000,837440450,40.25,40.45,40.15,40.15,-0.10,7647
1101B,台泥乙特,2021-01-28,13000,696300,53.80,53.80,53.50,53.80,X0.00,6
1102,亞泥,2021-01-28,6798000,273200100,40.25,40.45,40.00,40.00,-0.35,2829
1103,嘉泥,2021-01-28,658000,10901500,16.60,16.65,16.50,16.50,-0.15,270
1104,環泥,2021-01-28,798000,16460150,20.75,20.95,20.50,20.50,-0.15,396
1108,幸福,2021-01-28,567000,6156800,10.80,10.95,10.75,10.85,0.00,183
1109,信大,2021-01-28,240000,4419250,18.30,18.50,18.30,18.40,-0.25,153
1110,東泥,2021-01-28,313000,5233250,16.85,17.20,16.20,17.20,0.25,160
1201,味全,2021-01-28,1062000,21421000,20.15,20.40,20.05,20.10,-0.05,479
1203,味王,2021-01-28,241000,8654050,35.15,36.70,35.00,35.40,0.20,105
1210,大成,2021-01-28,1696000,82269750,49.10,49.10,48.15,48.25,-0.45,1036
1213,大飲,2021-01-28,11000,79500,7.23,7.23,7.20,7.20,-0.03,5
1215,卜蜂,2021-01-28,966000,68307100,70.90,71.10,70.40,70.80,0.00,485
1216,統一,2021-01-28,18832000,1285474300,67.70,68.90,67.50,68.00,0.10,8740
1217,愛之味,2021-01-28,1854000,15358060,8.36,8.37,8.21,8.21,-0.12,648
1218,泰山,2021-01-28,1030000,27435900,26.15,27.10,26.15,26.55,0.50,618
1219,福壽,2021-01-28,901000,16965350,18.95,19.05,18.60,18.60,-0.35,402
1220,台榮,2021-01-28,312000,3605350,11.60,11.70,11.45,11.50,-0.25,121
1225,福懋油,2021-01-28,122000,4011050,33.10,33.20,32.50,32.50,-0.65,98
1227,佳格,2021-01-28,3226000,183487000,57.10,57.30,56.50,56.50,-0.60,1628
1229,聯華,2021-01-28,3718000,149291250,40.45,40.45,40.00,40.45,0.15,1992
1231,聯華食,2021-01-28,204000,9123600,44.80,44.85,44.60,44.65,-0.15,159
1232,大統益,2021-01-28,130000,16693500,129.00,129.50,127.00,127.50,-2.00,121
1233,天仁,2021-01-28,46000,1571400,34.10,34.70,34.00,34.05,-0.10,42
1234,黑松,2021-01-28,157000,5056000,32.20,32.40,32.10,32.10,-0.10,87
1235,興泰,2021-01-28,49000,1252250,25.10,26.35,25.10,25.95,0.25,41
1236,宏亞,2021-01-28,34000,453050,13.45,13.45,13.20,13.20,-0.20,30
1256,鮮活果汁-KY,2021-01-28,29000,8339500,289.00,289.50,285.50,285.50,-1.50,28
1301,台塑,2021-01-28,12968000,1137899600,88.30,89.10,87.00,87.00,-2.10,5769
1303,南亞,2021-01-28,11111000,738034700,66.40,67.80,65.60,65.60,-2.10,4610
